date,cash,stock_value,total_value
2025-11-01,50000.0,0.0,50000.0
2025-11-02,32501.6923,17575.22559,50076.91789
2025-11-02,26504.1203,23618.199589999997,50122.31989
2025-11-02,16506.4356,33703.41413,50209.84973
2025-11-02,11510.5566,38743.38262999999,50253.93922999999
2025-11-02,9010.9006,41256.398629999996,50267.29923
2025-11-02,7011.6754,43236.028529999996,50247.703929999996
2025-11-02,4012.1754,46313.05352999999,50325.22892999999
2025-11-02,10.0354,50239.74852999999,50249.78392999999
2025-11-03,245.4254,46074.081379999996,46319.506779999996
2025-11-03,6.8414,46283.865379999996,46290.70677999999
2025-11-04,898.2094,42890.28907,43788.49847
2025-11-04,2041.5094,41788.839069999995,43830.34847
2025-11-04,3518.5694,40348.95907,43867.52847
2025-11-04,4017.2948,39872.98407,43890.27887
2025-11-04,5212.5668,38757.05607,43969.62287
2025-11-04,97.7838,43627.52726999999,43725.31106999999
2025-11-05,417.3838,44831.30197999999,45248.68577999999
2025-11-05,614.8938,44628.08197999999,45242.975779999986
2025-11-05,908.5938,44326.26197999999,45234.85577999999
2025-11-05,1334.5438,43879.36197999999,45213.90577999999
2025-11-05,827.203,44398.70697999999,45225.90997999999
2025-11-05,334.2415,44912.290479999996,45246.53197999999
2025-11-05,113.7515,45146.59047999999,45260.34197999999
2025-11-05,5.2585,45260.23547999999,45265.49397999999
2025-11-06,208.4485,43622.81022,43831.25872
2025-11-06,457.5985,43381.16022,43838.75872
2025-11-06,230.7335,43607.85522,43838.58872
2025-11-06,2.8817,43830.02222,43832.90392
2025-11-07,1.5487,45541.888960000004,45543.43766
2025-11-07,0.4853,45543.040960000006,45543.526260000006
2025-11-08,463.3253,44687.600560000006,45150.92586
2025-11-08,264.4653,44885.91156000001,45150.37686000001
2025-11-08,134.8878,45013.86906000001,45148.75686000001
2025-11-08,10.6378,45136.36906000001,45147.00686000001
2025-11-09,0.0576,46611.77777999999,46611.83537999999
2025-11-10,0.4853,47190.19074000001,47190.67604000001
2025-11-11,1042.6853,44231.64498000001,45274.33028000001
2025-11-11,1158.6283,44123.29898000001,45281.92728
2025-11-11,1903.5918,43418.101480000005,45321.69328000001
2025-11-11,63.1818,45118.04148000001,45181.223280000006
2025-11-12,835.8818,43944.32604000001,44780.20784000001
2025-11-12,936.2518,43845.97604000001,44782.22784000001
2025-11-12,982.0468,43802.05604000001,44784.10284000001
2025-11-12,1020.9878,43763.86404000001,44784.85184000001
2025-11-12,93.8329,44678.615130000006,44772.44803000001
2025-11-13,137.7229,43164.772139999994,43302.495039999994
2025-11-13,334.3829,42977.882139999994,43312.26503999999
2025-11-13,215.0129,43093.91714,43308.93004
2025-11-13,113.3769,43193.53168,43306.90858
2025-11-14,170.3969,41218.8108,41389.2077
2025-11-14,223.3469,41169.0208,41392.367699999995
2025-11-14,316.7769,41082.080799999996,41398.85769999999
2025-11-14,397.2269,41006.4808,41403.7077
2025-11-14,98.3954,41289.99268,41388.388080000004
2025-11-15,173.0954,41702.4881,41875.5835
2025-11-15,260.0404,41614.0731,41874.1135
2025-11-15,23.7877,41852.935450000004,41876.723150000005
