date,cash,stock_value,total_value
2025-11-01,50000.0,0.0,50000.0
2025-11-02,37454.0435,12601.10514,50055.14864
2025-11-02,24962.7457,25201.76436,50164.51006
2025-11-02,17452.7425,32768.61876,50221.36126
2025-11-02,12482.1425,37867.68876,50349.83126
2025-11-03,12482.1425,34884.4938,47366.6363
2025-11-04,11983.2425,33156.51936,45139.76186
2025-11-05,11983.2425,34307.477139999995,46290.719639999996
2025-11-06,23028.7439,22561.230999999996,45589.9749
2025-11-06,29574.6959,16303.567,45878.2629
2025-11-06,33951.6659,12030.417,45982.0829
2025-11-06,34449.9659,11547.117,45997.0829
2025-11-06,24266.0043,21162.018293,45428.022593
2025-11-06,14081.7429,31092.186928000003,45173.929828
2025-11-07,23697.5137,22535.98182,46233.49552
2025-11-07,14751.1447,31806.99882,46558.14352
2025-11-07,11647.5447,35041.198820000005,46688.74352
2025-11-08,12680.3626,33603.528303,46283.890903
2025-11-08,9522.9626,36706.128303,46229.090903
2025-11-08,9060.1226,37163.348303,46223.470903
2025-11-09,11647.5447,35711.528223,47359.072923
2025-11-10,11647.5447,36130.958303,47778.503003
2025-11-11,11647.5447,34450.169798,46097.714498
2025-11-12,11647.5447,34065.612164000006,45713.156864000004
2025-11-13,10132.9447,34315.546286,44448.490986
2025-11-13,9291.9447,35120.046286,44411.990986
2025-11-13,9057.8647,35348.206286,44406.070986
2025-11-14,10010.9647,32712.044531000003,42723.009231
2025-11-15,10235.8447,32919.481346,43155.326046
2025-11-15,10009.0447,33152.131346,43161.176046
