date,cash,stock_value,total_value
2025-11-01,50000.0,0.0,50000.0
2025-11-02,30190.595,19896.481799999998,50087.076799999995
2025-11-02,17683.8089,32512.764899999995,50196.5738
2025-11-02,10233.4089,40019.5649,50252.9738
2025-11-02,5225.0089,45072.16489999999,50297.17379999999
2025-11-02,83.0089,50347.06489999999,50430.07379999999
2025-11-03,335.6389,46418.1388,46753.7777
2025-11-03,147.9689,46584.1488,46732.1177
2025-11-03,6.7349,46708.3128,46715.0477
2025-11-04,3203.4743,40902.6908,44106.1651
2025-11-04,3327.6383,40784.1908,44111.829099999995
2025-11-04,2497.5883,41559.1408,44056.729100000004
2025-11-04,1735.3883,42293.4408,44028.829099999995
2025-11-04,6.0059,43870.821599999996,43876.82749999999
2025-11-05,2035.3691,43407.2519,45442.621
2025-11-05,2476.3491,42938.6519,45415.001
2025-11-05,1.1588,45531.3814,45532.540199999996
2025-11-06,0.3283,43996.3911,43996.7194
2025-11-06,0.0012,43996.71,43996.7112
2025-11-07,2211.9012,43332.830500000004,45544.731700000004
2025-11-07,660.1012,44949.93050000001,45610.03170000001
2025-11-07,1.7129,45621.278255000005,45622.991155
2025-11-08,2.0584,44977.48280500001,44979.54120500001
2025-11-08,2.9459,44976.60780500001,44979.553705000006
2025-11-08,118.6559,44862.30280500001,44980.958705000005
2025-11-08,87.6714,44892.988476000006,44980.659876000005
2025-11-08,18.993,44960.997676000006,44979.99067600001
2025-11-08,6.0578,44973.635276,44979.693076
2025-11-08,1.3217,44978.289176,44979.610876
2025-11-08,1.311,44978.299786999996,44979.610787
2025-11-09,230.3029,46417.76349500001,46648.06639500001
2025-11-09,128.0173,46522.458445000004,46650.475745
2025-11-09,26.0032,46629.946045000004,46655.949245
2025-11-09,2.3062,46654.624045000004,46656.930245
2025-11-09,0.1842,46656.768745,46656.952945000005
2025-11-10,2095.5975,45114.62149,47210.218989999994
2025-11-10,3887.0575,43331.37649,47218.433990000005
2025-11-10,3650.4975,43583.91649,47234.41399
2025-11-10,2761.9975,44493.41649,47255.41399
2025-11-10,1792.6975,45472.91649,47265.613990000005
2025-11-10,147.6975,47146.01649,47293.713990000004
2025-11-11,984.2475,43888.60969500001,44872.857195000004
2025-11-11,11.1675,44791.849695000004,44803.01719500001
2025-11-12,526.2536,43914.29977500001,44440.553375
2025-11-12,248.1036,44187.099775,44435.203375000005
2025-11-12,8.9436,44421.315775,44430.259375
2025-11-13,1025.3039,41561.472449999994,42586.77634999999
2025-11-13,857.1039,41722.372449999995,42579.47635
2025-11-13,13.4589,42518.222449999994,42531.68134999999
2025-11-14,740.5089,39971.27558,40711.78448
2025-11-14,7.1361,40679.873980000004,40687.01008000001
2025-11-14,1020.0361,39708.27398,40728.310079999996
2025-11-14,23.9312,40653.31358,40677.24478
2025-11-14,1.3234,40675.080010000005,40676.403410000006
2025-11-15,153.2794,41021.03545,41174.31485
2025-11-15,0.7894,41173.08345,41173.87285
