date,cash,stock_value,total_value
2025-11-01,50000.0,0.0,50000.0
2025-11-02,32501.6923,17575.22559,50076.91789
2025-11-02,19994.9062,30191.508689999995,50186.41489
2025-11-02,14995.6878,35228.571489999995,50224.259289999995
2025-11-02,11496.095,38662.19288999999,50158.28788999999
2025-11-02,8996.0782,41177.36636999999,50173.44456999999
2025-11-02,6496.048,43690.75856999999,50186.80656999999
2025-11-02,3994.252,46214.633321999994,50208.885321999995
2025-11-02,2493.7495,47710.23622199999,50203.98572199999
2025-11-02,993.6567,49249.10038199999,50242.75708199999
2025-11-02,0.0109,50233.00704299999,50233.01794299999
2025-11-03,1171.8139,45234.55796600001,46406.37186600001
2025-11-03,66.4756,46300.137766000014,46366.61336600001
2025-11-03,0.7911,46358.24126600001,46359.032366000014
2025-11-04,0.7911,43769.930092,43770.721192000005
2025-11-05,1015.4727,44364.001898,45379.474598
2025-11-05,358.1907,45048.779898,45406.970598
2025-11-05,211.3407,45199.689898,45411.030598
2025-11-05,83.5007,45332.649897999996,45416.15059799999
2025-11-05,6.0057,45413.82489799999,45419.83059799999
2025-11-06,251.1917,43836.344877999996,44087.536578
2025-11-06,897.1965,43190.824197999995,44088.02069799999
2025-11-06,481.7298,43595.98619799999,44077.71599799999
2025-11-06,10.9148,44046.06619799999,44056.98099799999
2025-11-07,223.5948,46183.734119,46407.328919
2025-11-07,490.1948,45857.834119,46348.028919
2025-11-07,287.6138,46064.402659,46352.016459
2025-11-07,121.9403,46236.088159,46358.028459
2025-11-07,48.2653,46315.008159,46363.273459
2025-11-08,1081.0832,44969.207932000005,46050.291132000006
2025-11-08,1424.4752,44629.161932,46053.637132
2025-11-08,777.7152,45261.041932,46038.757132
2025-11-08,461.9752,45571.301931999995,46033.277131999996
2025-11-08,231.6152,45798.781932,46030.397132
2025-11-09,1582.549,45891.43844499999,47473.98744499999
2025-11-09,950.629,46549.51844499999,47500.14744499999
2025-11-09,723.189,46780.99844499999,47504.18744499999
2025-11-09,412.869,47099.45844499999,47512.32744499999
2025-11-10,1839.7253,46023.12759299999,47862.85289299999
2025-11-10,269.3119,47612.81829299999,47882.13019299999
2025-11-10,22.5619,47863.78329299999,47886.345192999994
2025-11-11,1082.3557,44684.209908000004,45766.565608000004
2025-11-11,1438.9967,44342.555908,45781.552608000005
2025-11-11,1104.3767,44651.635908000004,45756.012608000005
2025-11-11,940.7567,44804.415908,45745.172608
2025-11-11,485.7567,45229.165908,45714.922608
2025-11-11,159.1567,45534.365908,45693.522608
2025-11-11,32.8917,45653.890908,45686.782608
2025-11-12,1063.0638,44133.178034,45196.241834
2025-11-12,1362.0138,43840.40803399999,45202.42183399999
2025-11-12,743.8538,44453.848033999995,45197.70183399999
2025-11-12,285.3938,44908.348033999995,45193.74183399999
2025-11-12,30.2438,45160.648034,45190.891833999995
2025-11-13,2062.9644,41603.228839,43666.193239
2025-11-13,1209.4494,42410.641339,43620.090739
2025-11-13,749.2794,42844.741339,43594.020739
2025-11-13,370.6294,43208.366339,43578.995739
2025-11-13,75.6394,43488.701339,43564.340739
2025-11-14,558.1394,41204.938288000005,41763.077688000005
2025-11-14,716.9894,41055.568288,41772.557688
2025-11-14,19.716,41717.096008,41736.812008
2025-11-14,0.905,41735.140008,41736.045008
2025-11-15,150.305,42190.590697,42340.895697
2025-11-15,374.555,41966.990697,42341.545697
2025-11-15,232.8034,42110.308107000004,42343.111507
2025-11-15,25.8484,42322.228107,42348.076507000005
2025-11-15,0.8626,42347.347107,42348.209707
2025-11-15,150.2626,42196.327107,42346.589707
2025-11-15,55.7615,42291.872047000004,42347.633547000005
2025-11-15,24.6626,42323.535047000005,42348.19764700001
2025-11-15,1.0649,42347.258547,42348.323446999995
